ID	Review	Sentiment
257931	 Son 20 yıl içinde Türk sinemasında izlediğim en iyi ve kaliteli komedi filmi diyebilirim. Bu filmin biz izleyiciler ile buluşturulmasında emeği geçen herkese binlerce Teşekkürler. .. Kutlarım. Türkiye nen " GERÇEK SANATÇI" olarının buluştuğu muhteşem bir film olmuş. Hikâye çok ustaca işlenmiş. Şahsen ben çok özlemiştim ve nihayet gözlerimdeki yaş film boyunca hiç dinmek bilmedi gülmekten. her şey kararında ama komedi hunharca kullanılmış. Helâl olsun. ..Türk sinemasında komedi çıtası bu film ile çok yükselmiş. Adeta işte bir komedi filmi böyle yapılır dersi verilmiş hem camia ya hemde biz Türk milletine. On kere izlesem doyamam. Binlerce Teşekkürler. ..	1
257931	 Başından sonuna sürükleyici ve komik olumsuz eleştirileri anlamak mümkün değil .Kesinlikle gidilip eğlenilesi bir film.	1
257931	 Kesinlikle çok beğendim. Konu iyi, oyuncular mükemmel, daha ne olsun. Ailece izlenebilecek bir film.	1
257931	 çok ilginç bir milletiz yap şu filmi beğenmeler acaba bu ülkede neye gülüyorlar düğün dernek recep işedik serilerine gülenler bu filmde altına işer bu filmin en az 10 milyon gişesi olmalı izlediğim en güzel tür filmiydi herkese tavsiye gidin ve eğlenin...	1
257931	 Son derece eğlenceli ve güzel bir film oyunculuklar muhteşem bilhassa Engin Günaydın ,Demet Evgar,Fatih Artman ve Erdal Öz yağcılar döktürüyor senaryoda Çok küçük aksaklıklar olmada ,son zamanların en Kaliteli Türk Komedi Filmi.	1
257931	 Gülse birsel yazmış, diğerleri oynamış,eee bize de izlemek düşer Bir dakikasında bile sıkılmadım☺️ gülelim biraz kafamız dağılsın derseniz kesinlikle izleyin piş olmayacaksınız👍👍	1
257931	 Şiddetle tavsiye ediyorum.cok güzeldi birse kaleminden bal damlamis.engin günaydın özlemişim süper oyunculuk.lutfen 2 si de çıksın.	1
257931	 Tek başıma gittim salon altına sıçtı zaten senaryo da Gülse Birsel varsa gidilir izlenir cıvıtmayın gidin hadi :))	1
257931	 Katıla katıla güler mi bir salon filmi bıraktık sakinleşmeye çalıştık bir ara Harika muhteşem ne denir bilmem daha fazla yazan oynayan herkesin emeğine sağlık.	1
257931	 Herkesin emeğine sağlık. Konusunun sağdan soldan kopyalanmadığı belli özgün bir filmininde yaşadığımız topluma göre harmanlanmış Filmde sadece iki kisi yok. başka hayatlar ve kişilerde var. Kısacası kaliteli olmuş. keyifli eğlenceli ve komik umarım tür sinemasında bu ayarda filmlerle tekrar buluşuruz	1
257931	 Son yıllarda izlediğim en eğlenceli komedi filmi diyebilirim ayrıca gülse birseli engin günaydın la daha çok filmde görmek istiyorum. Avrupa yakası severler kaçırmasın	1
257931	 Tek kelimeyle harikaydı. Son zamanlarda bu kadar çok güldüğümü hatırlamıyorum. Mutlaka keyifle izlemek için gitmelisiniz	1
257931	 Harika bir komediydi. Gerçekten bel altı konuşmalar sahneler olmadan, komedinin hakkını verebilen uzun zamandır izleyemediğimiz bu zamana kadarki Türk komedi filmleri arasında en kaliteli komedi filmiydi. Bize kalkalar dolusu güzel zaman yaşattığınız için teşekkürler 😊	1
257931	 Gülse hanımın kalemi yine tüm filmlere fark attı lütfen bu kadar uzun süre Yok olmayın ve bizi berbat yapımların eline bırakmayın 🤗😍	1
257931	 Harika bir film. Kesinlikle sinemada izlenmeli ve filme destek verilmeli. Türkiye'de böyle yapımlar gereken ilgiyi görmüyor maalesef.	1
257931	 çok güzel izleyin mutlaka hem bel altı sakalarda yoktu. çocuklar da kileriyle girebilir biz 6 yasındaki çocuğu soktuk güzel eğlendi de	1
257931	 Gülmek Keyifle Gülmek Harika Bir His Omdum O Kadar Düşüktü ki Film Resmen Morumu Yükseltti Harika Bir Film Oyuncular Esiriler Sahneler Gülse Birselin Harika Kalemi Tek Kelime ile Gidin izleyin karnını ağrıyana Kadar Gülceginizden Emin Olun Tüm Salon Kahkahalarla İnledi Türkiye'deki Bence gelmiş geçmiş en iyi Komedi Filmi Normalde Komedi Filmi Sevmem Ama Gülse Birsel ve Bu Kadar iyi Oyuncular Olunca izlenilmeden Olmuyor KESİNLİKLE GIDIN izleyin ARKADAŞLAR	1
257931	 Çok güzel bir film yıllardır izlediğimiz saçma sapan KÜFÜR komedilerinden çok farklı. Filmden gülerek çıkacaksınız	1
257931	 uzun zamandır bu kadar kaliteli , küfürsüz esprileri olan benzersiz bir gürse birsel filmi kesinlikle tavsiye ederim.	1
257931	 Tüm ekip bir harikaydı, kesinlikle altını çizerek söylüyorum kesinlikle herkesin izlemesi gereken harika bir yapıt...	1
257931	 Cook güzel filmdi özellikle bundan önce gittiğim cingöz reciyle kıyaslarsam bu film 25 dalda oscar alır Ailece seyredilebilecek, herselin kararında olduğu mükemmel bir komedi filmiydi teşekkürler	1
257931	 Tek kelimeyle HA-Rİ-KA!! Bence Engin Günaydın'ın olduğu her film güzeldir ve bir de üstüne Demet ev gar olunca harika bir yapım olmuş. Koşun gidin pişman olmazsınız! Tebrikler Gürse Birsel!!👏👏	1
257931	 Bence ailece izlenilebilecek bir film olmuş. Gülse Birselin kalemi ile Engin Günaydın ve Demet ev garın oyunculukları birleşince tatlı bir komedi çıkmış ortaya son zamanlarda izlediğim Türk Komedilerden en eğlencelisi.	1
257931	 ORta yaş ve üzerindeyseniz hoşunuza gidebilir ailenizle izleyecek bir film olsun derseniz izlenebilir ama üniversite öğrencisiyseniz size çok da hitap etmeyebilir...	1
257931	 Sinemada görülmeli. Son zamanlarda parayı verdiğinize değecek bir çalışma. Pişman olmazsınız. Sıkılmadan izledim	1
257931	 yalan dünya daha sonra Avrupa yakası serüvenini bize yaşatan o güçlü ve cesur kadın sinemada da altın harflerle ismini yazdıracak gibi kendime örnek aldığım o muazzam kadının aile arasındaki filmi mizahın ve hicvin komediyle fevkalade uyumu gözlerden kaçmamakta yani izleyeceğiniz film pür dikkat izlenmeli bütün film boyunca kahkaha atmakta filmin size en güzel hediyesi oyuncular için söylenecek tek bir söz var DEV KADRO bir arada devrim yakutun çok repliği olmamasına rağmen en çok güldüğüm karakterdi. oyunculuğun sadece replik söylemekten ibaret olmadığını ispatladı.	1
257931	 Fragmanda birey anlaşılmasa da Film boyunca güldük hiç sıkılmadan izledik ilk defa bir Türk filmi bel altı esprilere kaçmadan zirveye ulaşacak kesinlikle gülmek eğlenmek için gidilmeli teşekkürler Aile Arasında ekibi de	1
